"Município;""0 a 4 anos"";""5 a 9 anos"";""10 a 14 anos"";""15 a 19 anos"";""20 a 29 anos"";""30 a 39 anos"";""40 a 49 anos"";""50 a 59 anos"";""60 a 69 anos"";""70 a 79 anos"";""80 anos e mais"";""Total"""
317220 Wenceslau Braz;161;210;183;204;359;347;389;347;216;150;49;2615
320010 Afonso Cláudio;2330;2413;2299;2596;4827;5166;4519;3702;2415;1385;805;32457
320016 Água Doce do Norte;882;834;970;1114;1711;1767;1653;1314;899;561;316;12021
320013 Águia Branca;680;773;792;842;1507;1491;1481;1149;760;392;198;10065
320020 Alegre;1857;2133;2265;2646;5179;4799;4337;3832;2628;1563;969;32208
320030 Alfredo Chaves;988;1014;864;1083;2128;2461;2194;1957;1228;662;398;14977
320035 Alto Rio Novo;506;635;744;622;1142;1225;1126;906;585;305;136;7932
320040 Anchieta;1830;2130;2197;2065;4744;4724;3660;3030;1914;874;453;27621
320050 Apiacá;531;534;514;653;1156;1196;1027;918;716;459;222;7926
320060 Aracruz;7289;7759;7756;8527;17175;16181;12267;9330;5384;2199;1191;95058
320070 Atilio Vivacqua;631;916;909;855;1954;1837;1446;1200;812;376;242;11178
320080 Baixo Guandu;2052;2056;2387;2926;4503;4820;4459;3669;2296;1524;774;31466
320090 Barra de São Francisco;3329;3064;3575;3540;7258;6941;6291;4929;2979;1796;896;44598
320100 Boa Esperança;990;1372;1208;1336;2490;2329;2011;1760;965;534;326;15321
320110 Bom Jesus do Norte;569;694;827;758;1587;1591;1306;1266;791;504;283;10176
320115 Brejetuba;923;1059;1269;1258;2008;2287;1672;1225;615;312;129;12757
320120 Cachoeiro de Itapemirim;13805;14591;15088;16859;35433;34686;28116;23958;14801;7556;3808;208701
320130 Cariacica;28583;30009;31590;32980;65590;64644;50024;39521;23322;10432;5103;381798
320140 Castelo;1981;2345;2699;2877;6184;5925;5603;4671;2835;1752;959;37831
320150 Colatina;6895;8008;8645;9622;21058;19594;18056;14811;8803;4767;2388;122647
320160 Conceição da Barra;2555;2590;2797;3031;5101;4908;4037;2963;1792;950;406;31130
320170 Conceição do Castelo;767;937;1090;921;2070;2051;1703;1409;1013;537;267;12765
320180 Divino de São Lourenço;294;357;406;385;808;668;639;558;318;150;65;4648
320190 Domingos Martins;1976;2419;2642;2784;5544;5683;5192;3765;2371;1333;710;34419
320200 Dores do Rio Preto;420;584;606;571;1148;1027;960;734;480;227;133;6890
320210 Ecoporanga;1388;1823;2132;1987;3380;3949;3443;2733;1803;1072;563;24273
320220 Fundão;1334;1530;1684;1700;3056;3071;2691;2281;1450;732;458;19987
320225 Governador Lindenberg;855;907;834;896;1914;1762;1974;1471;865;552;255;12285
320230 Guaçuí;1948;2248;2483;2673;4875;4665;3904;3376;2441;1288;785;30686
320240 Guarapari;8111;8701;9736;10500;18764;19593;16555;13321;8597;4009;1914;119801
320245 Ibatiba;1791;1951;2274;2204;4091;4284;3298;2493;1597;843;419;25245
320250 Ibiraçu;744;917;853;1086;2048;2079;1715;1353;863;441;260;12359
320255 Ibitirama;679;829;929;885;1432;1385;1219;972;589;328;138;9385
320260 Iconha;817;774;789;1012;2298;2391;1975;1865;1008;581;279;13789
320265 Irupi;853;992;1251;1146;2081;2300;1764;1201;857;432;220;13097
320270 Itaguaçu;758;871;954;1111;2040;2210;2145;1984;1417;898;441;14829
320280 Itapemirim;2523;2856;2949;2771;5444;5550;4449;3613;2421;1120;578;34274
320290 Itarana;337;705;829;946;1716;1741;1701;1415;950;602;347;11289
320300 Iúna;2171;2216;2602;2416;5003;4869;3892;3126;1837;941;516;29589
320305 Jaguaré;2333;2533;2610;2574;5072;4897;3467;2606;1506;703;342;28643
320310 Jerônimo Monteiro;664;815;853;965;1841;1688;1722;1397;956;617;358;11876
320313 João Neiva;1037;1090;995;1351;2652;2910;2299;2175;1314;722;478;17023
320316 Laranja da Terra;555;690;700;845;1656;1747;1847;1496;1018;587;294;11435
320320 Linhares;12794;13857;13662;14099;29511;28284;21022;15375;8853;4102;2104;163663
320330 Mantenópolis;1057;1017;1340;1297;2224;2343;1996;1742;1110;697;300;15123
320332 Marataízes;2798;2761;3003;3095;5918;6199;5002;4207;2839;1385;718;37925
320334 Marechal Floriano;1210;1164;1147;1265;2678;2665;2243;1856;1047;541;310;16126
320335 Marilândia;678;760;824;951;1999;1906;1868;1600;948;542;275;12351
320340 Mimoso do Sul;1875;1787;1897;1963;4236;4294;3661;3521;2218;1222;673;27347
320350 Montanha;1358;1535;1394;1645;2850;2946;2709;2088;1369;822;506;19222
320360 Mucurici;337;436;440;499;854;919;769;793;443;271;124;5885
320370 Muniz Freire;1181;1319;1641;1686;3003;2890;2531;2046;1439;758;419;18913
320380 Muqui;893;1074;1136;1220;2475;2309;2200;1932;1230;769;393;15631
320390 Nova Venécia;3366;3496;3801;4483;8572;7719;7154;5661;3258;1817;973;50300
320400 Pancas;1358;1834;2154;2004;3575;3845;3143;2502;1702;862;439;23418
320405 Pedro Canário;2110;2352;2317;2544;4256;4412;3241;2453;1415;687;339;26126
320410 Pinheiros;2035;2391;2292;2222;4205;4314;3333;2684;1660;955;497;26588
320420 Piúma;1371;1457;1572;1868;3364;3311;2860;2439;1479;719;275;20715
320425 Ponto Belo;516;592;625;752;1029;1151;1147;803;584;348;200;7747
320430 Presidente Kennedy;766;766;864;1061;1824;1902;1499;1206;825;403;193;11309
320435 Rio Bananal;1299;1361;1437;1670;3097;3079;2762;2232;1194;651;398;19180
320440 Rio Novo do Sul;641;790;889;906;1894;2075;1598;1472;903;539;335;12042
320450 Santa Leopoldina;720;826;963;1062;2002;1956;1881;1588;979;597;308;12882
320455 Santa Maria de Jetibá;2553;2737;3101;3482;7266;6817;5171;3688;2415;1164;456;38850
320460 Santa Teresa;1270;1472;1692;1701;3790;3620;3507;2989;1958;1063;672;23734
320465 São Domingos do Norte;660;641;618;622;1400;1384;1135;1058;645;342;205;8710
320470 São Gabriel da Palha;2403;2543;2712;2929;6409;6451;4875;3819;2364;1201;622;36328
320480 São José do Calçado;734;689;763;882;1538;1503;1516;1357;1000;645;385;11012
320490 São Mateus;8359;10445;10626;11667;21527;20691;16426;12751;7355;3241;1489;124577
320495 São Roque do Canaã;733;818;842;967;1962;1832;1922;1485;966;554;302;12383
320500 Serra;38432;37815;41365;41855;89339;86754;61179;48466;26252;9542;4376;485375
320501 Sooretama;2562;2775;2744;2691;4831;4779;3300;2166;1255;591;271;27965
320503 Vargem Alta;1489;1607;1821;1854;3368;3296;2972;2334;1264;735;400;21140
320506 Venda Nova do Imigrante;1269;1722;1747;1980;4200;4089;3452;2613;1496;734;445;23747
320510 Viana;5413;5727;6243;6009;14141;13469;9384;7543;4135;1644;789;74497
320515 Vila Pavão;604;664;629;749;1590;1535;1403;1060;570;370;194;9368
320517 Vila Valério;790;1188;1196;1131;2499;2486;2075;1639;952;461;239;14656
320520 Vila Velha;30160;32111;34514;36609;80247;81804;64050;56549;33630;15498;7587;472759
320530 Vitória;22870;22007;23995;26014;59517;63632;45093;43653;28200;13270;7625;355876
330010 Angra dos Reis;11839;14248;16325;16709;30853;33296;26502;20936;11729;4031;1811;188279
330015 Aperibé;632;716;790;762;1634;1800;1508;1496;958;468;255;11019
330020 Araruama;7572;8624;9277;10007;18057;17778;17251;15658;10901;5295;2450;122870
330022 Areal;698;896;865;927;1967;1734;1694;1528;997;440;227;11973
330023 Armação dos Búzios;2137;2141;2497;2624;4862;5202;4781;3877;2020;672;253;31066
330025 Arraial do Cabo;1889;1910;2283;2311;4108;4198;4005;4192;2512;1231;457;29096
330030 Barra do Piraí;5905;6461;7139;7352;13884;14795;13144;13160;8580;4158;2288;96866
330040 Barra Mansa;11293;11271;12990;13745;27543;27814;25020;24253;15450;7230;3306;179915
330045 Belford Roxo;33457;34286;40325;46339;77473;73603;69836;53330;32743;14033;5702;481127
330050 Bom Jardim;1450;1893;1920;1959;3942;4184;3860;3261;2149;1044;614;26276
330060 Bom Jesus do Itabapoana;1990;2330;2649;2832;5229;4844;5247;4942;3051;1804;1045;35963
330070 Cabo Frio;14377;15185;16021;18061;32775;31539;28663;26700;16001;6543;2585;208450
330080 Cachoeiras de Macacu;3955;3738;4078;4690;8788;8514;8130;6747;4494;2074;1081;56289
330090 Cambuci;734;906;1024;1028;1862;2193;2170;2054;1518;792;554;14835
330100 Campos dos Goytacazes;34233;37459;37019;39924;75877;75286;63499;57690;35781;18338;8861;483967
330110 Cantagalo;1383;1354;1384;1515;2818;2772;2866;2437;1773;936;519;19757
330093 Carapebus;1121;1070;1088;1258;2419;2257;2257;1809;1067;466;195;15007
330115 Cardoso Moreira;933;872;811;869;1764;1837;1741;1501;1104;728;400;12560
330120 Carmo;1117;1330;1380;1358;2504;2717;2634;2343;1539;794;483;18199
330130 Casimiro de Abreu;3034;3296;3087;3221;6341;6366;5732;4697;2772;1137;626;40309
330095 Comendador Levy Gasparian;591;561;615;624;1193;1228;1135;1028;744;338;188;8245
330140 Conceição de Macabu;1534;1599;1631;1918;3433;3183;3219;2767;1631;837;409;22161
330150 Cordeiro;1224;1414;1528;1698;3089;3115;3051;2681;1827;911;524;21062
330160 Duas Barras;703;871;820;836;1764;1612;1648;1365;851;386;267;11123
330170 Duque de Caxias;60702;61835;71881;80012;143388;137995;124213;101213;62144;27473;11873;882729
330180 Engenheiro Paulo de Frontin;628;812;941;1008;1993;2205;1977;1932;1236;595;299;13626
330185 Guapimirim;3738;4474;4622;5013;9334;8825;8070;6294;3768;1661;715;56514
330187 Iguaba Grande;1418;1549;1819;2249;3424;3600;3773;3547;2776;1268;480;25903
330190 Itaboraí;15749;15386;17847;20077;34560;36861;34504;26709;17365;6954;2995;229007
330200 Itaguaí;8305;8874;10141;10295;19097;20073;16591;13127;8172;3169;1300;119144
330205 Italva;798;1054;936;911;1922;2178;2007;1988;1495;780;498;14567
330210 Itaocara;1233;1507;1437;1531;3072;3244;3280;3179;2225;1315;760;22783
330220 Itaperuna;5387;6494;6975;7148;14591;15863;14404;12739;8679;4321;2420;99021
330225 Itatiaia;1916;2237;2305;2495;4658;4792;4556;3594;2298;947;440;30238
330227 Japeri;7302;7865;8369;9694;18082;16067;13659;9347;5852;2545;1081;99863
330230 Laje do Muriaé;435;480;585;645;1034;1017;1028;940;606;315;214;7299
330240 Macaé;19249;18414;17510;18165;43656;44893;29251;24364;12406;4535;2187;234630
330245 Macuco;445;462;455;424;707;752;827;500;505;180;138;5395
330250 Magé;16716;17336;19047;21707;37771;34369;32979;26465;17147;7777;3495;234809
330260 Mangaratiba;2207;2685;3180;3373;6350;6265;6158;5391;3263;1313;590;40775
330270 Maricá;8397;9230;9736;11082;21055;23901;22233;20405;13313;4930;2263;146545
330280 Mendes;968;1013;1184;1349;2448;2636;2656;2717;1737;929;460;18097
330285 Mesquita;9147;9234;12596;15101;23583;25582;24673;24193;15990;7118;3536;170753
330290 Miguel Pereira;1305;1424;1674;1898;3452;3301;3473;3558;2556;1356;845;24842
330300 Miracema;1677;1963;1934;2139;3784;3731;3706;3279;2283;1436;735;26667
330310 Natividade;889;911;1095;1160;1923;2195;2068;1999;1413;845;513;15011
330320 Nilópolis;9071;10411;11563;12264;23394;24599;22092;20614;13995;6920;3383;158306
330330 Niterói;24604;26610;28851;32543;71210;80553;66909;68600;51131;28414;17270;496695
330340 Nova Friburgo;9907;12072;12649;13332;26250;27955;27310;24733;17504;8337;4737;184786
330350 Nova Iguaçu;55457;57553;64773;75402;129490;122906;114886;91109;57667;26752;11493;807488
330360 Paracambi;2351;2387;2902;4411;8460;7724;8291;6470;3817;1878;829;49520
330370 Paraíba do Sul;3173;2813;3217;3400;6088;5886;5975;5410;3503;1881;1006;42352
330380 Paraty;3141;3109;3373;3487;6005;6808;5610;4690;2738;1011;506;40478
330385 Paty do Alferes;1724;1820;2106;2218;4288;3683;3686;3442;2058;1185;612;26822
330390 Petrópolis;16790;19269;20408;23959;44519;43194;43823;37213;27488;14050;7431;298144
330395 Pinheiral;1701;1549;1754;1996;3657;3888;2886;3354;1968;740;394;23887
330400 Piraí;1630;1639;2013;2231;4112;4535;4086;3568;2413;1067;548;27842
330410 Porciúncula;1342;1326;1346;1398;2691;2602;2462;2294;1329;780;488;18058
330411 Porto Real;1315;1423;1467;1632;3115;2902;2567;2057;1129;465;197;18269
330412 Quatis;1064;1004;966;1061;2043;2197;1844;1634;1034;488;208;13543
330414 Queimados;10435;10789;11956;13721;23613;22040;20285;15614;9320;4023;1835;143631
330415 Quissamã;1389;1829;1841;1907;3834;3212;3332;2685;1578;733;366;22706
330420 Resende;8648;8680;9178;9673;20060;20109;17839;15304;9490;4150;2084;125215
330430 Rio Bonito;3267;3780;4591;4792;8714;9369;8520;6823;4433;2188;1138;57615
330440 Rio Claro;1047;1127;1454;1678;2288;2797;2717;2246;1400;674;399;17827
330450 Rio das Flores;652;631;673;804;1349;1266;1306;1012;680;349;171;8893
330452 Rio das Ostras;9661;10555;10453;9945;21618;24500;19348;14729;7814;2354;1000;131977
330455 Rio de Janeiro;380663;405648;439436;481981;973887;1034839;874070;807114;578104;317059;183828;6476629
330460 Santa Maria Madalena;630;715;735;828;1352;1371;1461;1393;935;515;297;10232
330470 Santo Antônio de Pádua;2212;2948;2759;3063;5877;6193;5925;5358;3713;1996;1132;41176
330480 São Fidélis;2390;2515;2486;2812;5277;5456;5372;4768;3483;2038;1109;37706
330475 São Francisco de Itabapoana;2979;3276;2938;3312;6338;6138;5637;4949;3190;1722;808;41287
330490 São Gonçalo;62115;64008;74565;84181;158252;170334;151643;130605;86011;39114;17251;1038079
330500 São João da Barra;2289;2437;2314;2677;5628;4994;4840;4525;2847;1435;595;34581
330510 São João de Meriti;29301;31287;36346;40258;71049;70588;64331;56133;36913;17004;7413;460623
330513 São José de Ubá;450;510;444;539;1022;1091;1131;933;611;313;160;7204
330515 São José do Vale do Rio Preto;1354;1325;1582;1941;3388;3020;3233;2385;1646;738;299;20911
330520 São Pedro da Aldeia;6313;7233;7799;8413;14968;14898;14205;11537;7213;3043;1300;96922
330530 São Sebastião do Alto;617;648;575;603;1286;1311;1299;1253;750;459;251;9052
330540 Sapucaia;1317;1127;1269;1350;2698;2517;2455;2276;1516;691;389;17605
330550 Saquarema;5443;5760;5843;6697;12925;12086;11263;10661;7256;3008;1417;82359
330555 Seropédica;5444;5957;6474;7273;14783;12137;11310;9645;6015;2642;1210;82890
330560 Silva Jardim;1585;1452;1761;2047;3105;3196;2925;2456;1521;832;426;21306
330570 Sumidouro;972;1142;1061;1116;2536;2348;2184;1949;1017;524;281;15130
330575 Tanguá;2072;2433;2645;2791;4966;5254;4798;3707;2272;1029;460;32427
330580 Teresópolis;9870;11594;13282;14116;26824;25346;24990;21382;14766;7226;3667;173063
330590 Trajano de Moraes;738;746;704;771;1403;1465;1573;1282;871;542;256;10351
330600 Três Rios;5713;5504;5650;6200;12013;11635;11003;9967;6837;3193;1547;79262
330610 Valença;4322;4830;5445;5669;10911;10297;9725;9905;6946;3624;2052;73726
330615 Varre-Sai;827;1057;902;681;1657;1612;1456;1058;669;313;172;10404
330620 Vassouras;1909;2367;2689;2812;5892;5095;4829;4416;3005;1511;907;35432
330630 Volta Redonda;15883;16259;17422;19439;39546;41356;33887;38413;24561;10644;5556;262966
350010 Adamantina;1711;2168;1938;2204;5202;4835;5142;4905;3468;2405;1074;35052
350020 Adolfo;179;254;240;195;519;486;503;558;402;201;85;3622
350030 Aguaí;2743;2639;2441;2913;5837;5436;4384;3853;2666;1330;624;34866
350040 Águas da Prata;471;517;429;508;1121;1068;1043;1194;828;548;298;8025
350050 Águas de Lindóia;1074;1093;1215;1335;2636;2849;2623;2301;1655;1001;534;18316
350055 Águas de Santa Bárbara;429;341;442;477;865;780;875;723;582;281;152;5947
350060 Águas de São Pedro;167;163;149;242;322;450;424;430;380;253;159;3139
350070 Agudos;2611;2537;2606;2975;5960;5803;5016;4245;2775;1360;640;36528
350075 Alambari;390;439;507;473;869;908;682;598;414;183;95;5558
350080 Alfredo Marcondes;152;252;244;266;579;531;611;574;438;293;158;4098
350090 Altair;347;311;292;355;680;690;571;366;252;131;64;4059
350100 Altinópolis;861;988;1176;1311;2437;2570;2109;1951;1564;795;413;16175
350110 Alto Alegre;270;248;230;234;642;580;523;556;455;289;145;4172
350115 Alumínio;1218;1531;1538;1605;3003;2958;2615;1770;1091;535;197;18061
350120 Álvares Florence;160;168;215;233;478;439;641;599;501;310;108;3852
350130 Álvares Machado;1259;1774;1789;1964;4038;3317;3693;2924;2221;1108;565;24652
350140 Álvaro de Carvalho;314;242;349;275;1041;1217;589;466;292;161;82;5028
350150 Alvinlândia;273;205;273;271;438;521;417;340;242;133;57;3170
350160 Americana;13687;14213;13789;15650;36569;37704;33827;30682;18785;9711;4703;229320
350170 Américo Brasiliense;3039;2841;3002;3251;6916;6511;5571;3719;2135;897;319;38201
350180 Américo de Campos;338;331;427;397;808;874;791;898;572;335;173;5944
350190 Amparo;3706;4368;4373;4914;11399;11230;10004;8990;5958;3527;1809;70278
350200 Analândia;373;378;300;360;740;694;581;558;397;264;83;4728
350210 Andradina;3481;3457;3541;3950;8542;8846;8378;7481;5211;2983;1380;57250
350220 Angatuba;1749;1931;1781;1955;3870;3469;3416;2837;1871;860;420;24159
350230 Anhembi;490;531;549;528;900;981;840;698;457;227;108;6309
350240 Anhumas;218;278;326;313;604;560;602;474;325;206;91;3997
350250 Aparecida;2430;2633;2338;2777;5869;5454;5050;4620;2898;1399;750;36218
350260 Aparecida d'Oeste;183;227;283;300;548;511;719;623;501;372;131;4398
350270 Apiaí;1589;1737;2250;2619;3697;3601;3490;2819;1907;1064;441;25214
350275 Araçariguama;1943;1823;1727;1820;3562;3153;2557;1883;1064;412;170;20114
350280 Araçatuba;12138;11221;11882;13340;28125;30603;29143;25725;16866;9325;4389;192757
350290 Araçoiaba da Serra;2186;2093;2381;2546;4667;4594;4669;3905;2597;1150;528;31316
350300 Aramina;346;352;345;396;900;797;765;735;436;308;108;5488
350310 Arandu;398;409;460;567;991;1008;802;799;525;278;112;6349
350315 Arapeí;165;185;197;196;387;317;372;329;171;142;63;2524
350320 Araraquara;14337;13907;13601;15353;36181;38293;31156;28406;19393;10255;5627;226509
350330 Araras;8421;8043;8199;9481;21411;21151;17864;16352;10163;5260;2552;128897
350335 Arco-Íris;116;123;108;118;266;254;281;278;180;117;52;1893
350340 Arealva;439;537;562;607;1119;1108;1088;1200;880;547;264;8351
350350 Areias;240;306;330;350;581;549;538;470;240;143;109;3856
350360 Areiópolis;657;926;987;877;2188;1572;1694;1106;593;322;125;11047
350370 Ariranha;667;637;663;590;1627;1434;1307;973;730;457;188;9273
350380 Artur Nogueira;3391;3730;3999;4146;8716;8285;7132;5406;3276;1457;708;50246
350390 Arujá;5372;6558;7346;7519;13671;13967;11845;9275;5565;1893;926;83937
350395 Aspásia;79;118;108;135;279;198;323;285;179;102;47;1853
350400 Assis;6656;6501;6412;6885;16272;16007;14074;13009;8490;4874;2418;101598
350410 Atibaia;8157;9492;10527;10387;20972;22252;19207;16553;10921;5706;3015;137189
350420 Auriflama;791;1033;774;1042;2374;2244;2211;1909;1362;833;389;14962
350430 Avaí;393;394;374;476;884;738;696;597;415;212;101;5280
350440 Avanhandava;938;824;869;923;3044;2023;1639;1202;731;374;154;12721
350450 Avaré;5794;6344;6344;6435;14176;14420;11725;10336;7166;3787;1860;88387
350460 Bady Bassitt;979;965;1163;1317;2526;2634;2611;2028;1206;678;253;16360
350470 Balbinos;31;34;60;-;1871;1997;484;181;88;44;29;4819
350480 Bálsamo;593;468;488;594;1241;1336;1327;1163;795;511;256;8772
350490 Bananal;860;725;782;937;1486;1608;1434;1233;909;524;279;10777
350500 Barão de Antonina;218;275;302;225;449;491;380;463;289;178;83;3353
350510 Barbosa;521;474;566;620;1114;983;1018;830;557;321;126;7130
350520 Bariri;2001;2254;2659;2623;5214;5109;4398;4306;2720;1816;948;34048
350530 Barra Bonita;1893;2099;2146;2510;5299;5820;5708;5028;3174;1846;798;36321
350535 Barra do Chapéu;465;404;499;536;794;848;719;618;371;242;89;5585
350540 Barra do Turvo;664;599;731;731;1002;1060;964;881;642;411;140;7825
350550 Barretos;7687;8117;7654;8104;19254;19449;16293;14836;9659;5587;2603;119243
350560 Barrinha;2475;2624;2718;2642;5881;5418;3989;2899;1510;743;330;31229
350570 Barueri;19395;19086;21865;23455;45956;44521;37736;27196;15451;5090;2521;262272
350580 Bastos;1325;1527;1478;1624;3196;2919;3185;2734;1707;934;436;21065
350590 Batatais;3632;4091;3934;4790;9555;9668;7964;7471;5182;2874;1426;60587
350600 Bauru;22020;24287;25395;27470;57336;60558;50796;45178;29536;16348;8070;366994
350610 Bebedouro;4544;4898;5167;5793;12091;12025;10975;9705;6806;3664;1959;77627
350620 Bento de Abreu;198;195;217;229;467;443;441;310;195;133;50;2878
350630 Bernardino de Campos;741;725;719;810;1702;1510;1511;1378;980;701;378;11155
350635 Bertioga;4648;4872;5511;5100;9266;9204;7830;5464;3150;1057;453;56555
350640 Bilac;343;409;478;592;1166;1145;1192;1001;713;436;204;7679
350650 Birigui;7813;7579;7452;8740;18222;18952;18652;14617;9436;4639;2251;118353
350660 Biritiba-Mirim;2170;2426;2679;2733;5109;4515;4344;3169;2388;1209;413;31155
350670 Boa Esperança do Sul;1128;1030;1141;1326;2399;2276;2006;1574;981;461;223;14545
350680 Bocaina;662;852;912;937;1863;2003;1648;1298;876;507;247;11805
350690 Bofete;767;812;835;926;1505;1492;1461;1412;1020;478;174;10882
350700 Boituva;3913;4229;4242;4296;9868;9597;7778;5836;3686;1615;667;55727
350710 Bom Jesus dos Perdões;1555;1807;1880;2019;3846;3786;3166;2579;1448;634;304;23024
350715 Bom Sucesso de Itararé;316;317;351;456;638;548;516;340;207;91;51;3831
350720 Borá;82;52;27;79;140;151;101;112;49;32;13;838
350730 Boracéia;400;344;325;388;792;656;597;471;376;178;100;4627
350740 Borborema;790;1112;1140;1043;2395;2415;2126;2045;1322;813;368;15569
350745 Borebi;181;195;211;220;412;346;366;273;174;99;42;2519
350750 Botucatu;9130;9671;9956;10477;21676;23077;18569;16508;11209;5976;3237;139486
350760 Bragança Paulista;9870;9991;11178;12887;25206;27170;22121;19397;13158;6420;3267;160665
350770 Braúna;407;364;384;401;855;808;684;644;410;340;155;5452
350775 Brejo Alegre;126;179;231;227;409;507;388;317;214;92;70;2760
350780 Brodowski;1341;1669;1761;2014;3948;3550;3285;2741;1720;946;485;23460
350790 Brotas;1715;1650;1649;2030;3689;3681;3122;2695;1716;993;478;23418
350800 Buri;1560;1812;1871;1780;3009;2846;2383;2022;1295;714;278;19570
350810 Buritama;1281;1075;971;1096;2572;2448;2420;2145;1473;786;313;16580
350820 Buritizal;305;292;256;323;656;680;562;533;418;214;111;4350
350830 Cabrália Paulista;284;364;298;394;704;610;627;498;345;187;81;4392
350840 Cabreúva;3578;3853;4008;4281;8361;7432;6582;4333;2572;1033;492;46525
350850 Caçapava;6567;6438;6563;7205;14029;15043;12674;10730;7166;3202;1545;91162
350860 Cachoeira Paulista;2218;2366;2315;2428;4831;5377;4172;4009;2611;1275;691;32293
350870 Caconde;1035;1287;1574;1615;2785;2558;2545;2364;1764;1005;448;18980
350880 Cafelândia;1213;1086;1146;1318;2620;2738;2358;2104;1511;949;451;17494
350890 Caiabu;247;257;264;302;727;478;666;542;348;256;119;4206
350900 Caieiras;7101;7052;7687;8279;16201;15506;14464;10635;5901;2043;917;95786
350910 Caiuá;246;361;462;390;830;713;930;744;498;290;95;5559
350920 Cajamar;5719;5739;6069;6466;13373;12261;9829;6988;3451;1367;541;71803
350925 Cajati;2379;2286;2642;2855;4192;4525;3751;2918;1838;1119;457;28962
350930 Cajobi;485;775;648;704;1855;1551;1383;1264;905;551;219;10340
350940 Cajuru;1814;1834;1863;2169;4182;3729;3361;2834;1817;1090;541;25234
350945 Campina do Monte Alegre;352;460;504;473;911;844;815;655;483;279;127;5903
350950 Campinas;72458;71919;77807;84588;190793;199916;164002;139870;92261;46877;23604;1164095
350960 Campo Limpo Paulista;6221;6107;5957;6701;13481;13198;11152;9228;5671;2180;950;80846
350970 Campos do Jordão;3435;3632;4055;4695;8349;8035;7593;5727;3229;1485;622;50857
350980 Campos Novos Paulista;336;402;403;424;662;705;666;523;393;212;110;4836
350990 Cananéia;930;875;1087;1196;1725;1957;1544;1485;998;575;233;12605
350995 Canas;461;451;447;415;805;699;634;495;260;137;51;4855
351000 Cândido Mota;2108;2015;2114;2113;5103;4265;4436;4022;2667;1599;690;31132
351010 Cândido Rodrigues;88;196;182;122;475;364;373;396;299;196;90;2781
351015 Canitar;284;506;540;460;730;816;608;440;312;152;38;4886
351020 Capão Bonito;3026;3692;4065;4265;7386;7261;6428;5112;3609;1861;779;47484
351030 Capela do Alto;1138;1527;1707;1661;3398;3040;2699;2054;1417;616;223;19480
351040 Capivari;3816;4169;3934;4248;8961;8571;7540;5758;3439;1773;947;53156
351050 Caraguatatuba;8109;8469;8987;9492;17356;18121;16121;12572;8820;3700;1571;113318
351060 Carapicuíba;28626;30650;33572;34129;65066;67649;55618;39043;25617;8801;3526;392297
351070 Cardoso;869;837;743;755;1738;1754;1652;1754;1170;686;321;12279
351080 Casa Branca;1797;1880;1951;2252;4717;5091;4052;3555;2404;1327;848;29874
351090 Cássia dos Coqueiros;118;200;157;222;376;343;365;357;236;170;80;2624
351100 Castilho;1668;1384;1332;1540;2996;2985;2898;2372;1539;789;369;19872
351110 Catanduva;7620;6958;6818;8177;18122;18830;17501;15275;10500;6534;3147;119482
351120 Catiguá;429;562;524;539;1212;1184;1166;914;588;328;159;7605
351130 Cedral;474;538;585;590;1210;1368;1263;1097;810;559;272;8766
351140 Cerqueira César;1261;1624;1452;1518;3161;2704;2524;2125;1472;877;392;19110
351150 Cerquilho;2977;2851;3375;3324;7532;7653;6338;5314;3419;1591;769;45143
351160 Cesário Lange;1324;1150;1257;1370;3016;2850;2299;1696;1355;624;223;17164
351170 Charqueada;1165;1216;1190;1315;3012;2586;2146;1764;1159;639;246;16438
355720 Chavantes;947;824;950;1097;1791;1884;1718;1419;1065;535;255;12485
351190 Clementina;690;720;536;491;1746;1255;873;777;472;270;164;7994
351200 Colina;1059;1233;1326;1296;3090;2785;2520;2229;1479;826;400;18243
351210 Colômbia;403;444;423;507;1091;1034;848;705;462;214;76;6207
351220 Conchal;1809;2045;2186;2350;5179;4233;3493;2747;1785;913;389;27129
351230 Conchas;1282;1347;1353;1240;2541;2422;2266;2256;1399;849;449;17404
351240 Cordeirópolis;1458;1668;1766;1798;4034;3834;3177;2572;1638;852;436;23233
351250 Coroados;505;372;327;420;903;916;799;681;474;253;106;5756
351260 Coronel Macedo;380;300;377;379;726;614;654;721;423;254;92;4920
351270 Corumbataí;193;275;368;311;637;625;537;474;352;177;87;4036
351280 Cosmópolis;5074;5511;5094;5225;11718;11476;9226;6917;3990;1760;818;66809
351290 Cosmorama;385;391;440;488;994;1034;1048;992;840;556;218;7386
351300 Cotia;17115;17878;19230;19834;36410;40245;32745;24819;13987;4871;2415;229549
351310 Cravinhos;2153;2387;2576;2838;5775;5409;4604;3991;2494;1279;603;34109
351320 Cristais Paulista;450;630;628;639;1361;1355;1001;1119;618;294;162;8257
351330 Cruzália;140;100;144;156;288;312;335;350;190;136;57;2208
351340 Cruzeiro;5695;5596;5684;6503;12153;13087;10667;10209;6630;3404;1455;81083
351350 Cubatão;9085;10475;10658;10749;21857;20906;18010;13788;7186;3089;1204;127007
351360 Cunha;1027;1502;1527;2017;3266;3085;3496;2793;1865;1053;454;22085
351370 Descalvado;1965;1984;2155;2386;5288;5230;4641;4100;2782;1610;836;32977
351380 Diadema;28731;30918;34579;34987;71521;69227;61064;42934;25317;9480;3671;412429
